State_Teritory_Tribal Nation,Total Population,2020_Population ,2020_Election_Winner
ALABAMA,3,5024279,Republican
ALASKA,3.7,733391,Republican
AMERICAN SAMOA,0.0686,49710,No electoral Vote
ARIZONA,3.5,7151502,Democrat
ARKANSAS,2.8,3011524,Republican
CALIFORNIA,18.4,39538223,Democrat
COLORADO,3.2,5773714,Democrat
CONNECTICUT,2.5,3605944,Democrat
DELEWARE,0.792,989948,Democrat
DISTRICT OF COLUMBIA,1.1,689545,Democrat
FLORIDA,8.2,21538187,Republican
GEORGIA,5,10711908,Democrat
GUAM,0.1426,153836,No electoral Vote
HAWAII,1,1455271,Democrat
IDAHO,1.2,1839106,Republican
ILLINOIS,8.4,12812508,Democrat
INDIANA,3.4,6785528,Republican
IOWA,2.4,3190369,Republican
KANSAS,1.5,2937880,Republican
KENTUCKY,3.9,4505836,Republican
LOUISIANA,4.3,4657757,Republican
MAINE,1.1,1362359,Democrat
MARYLAND,2.7,6177224,Democrat
MASSACHUSETTS,3.6,7029917,Democrat
MICHIGAN,5.2,10077331,Democrat
MINNESOTA,2.7,5706494,Democrat
MISSISSIPPI,2.3,2961279,Republican
MISSOURI,3.8,6154913,Republican
MONTANA,3.3,1084225,Republican
NEBRASKA,1.3,1961504,Republican
NEVADA,1.7,3104614,Democrat
NEW HAMPSHIRE,0.7518,1377529,Democrat
NEW JERSEY,5.1,9288994,Democrat
NEW MEXICO,2.6,2117522,Democrat
NEW YORK,10.1,20201249,Democrat
NORTH CAROLINA,4.5,10439388,Republican
NORTH DAKOTA,1.8,779094,Republican
NORTHERN MARIANA ISLANDS,0.0833,53883,No electoral Vote
OHIO,6.6,11799448,Republican
OKLAHOMA,2.9,3959353,Republican
OREGON,2.3,4237256,Democrat
PENNSYLVANIA,8.1,13002700,Democrat
PUERTO RICO,0.9937,3285874,No electoral Vote
RHODE ISLAND,1.1,1097379,Democrat
SOUTH CAROLINA,2.3,5118425,Republican
SOUTH DAKOTA,1.3,886667,Republican
TENNESSEE,3.7,6910840,Republican
TEXAS,14.2,29145505,Republican
TRIBAL COMMUNITIES,3,-,No electoral Vote
US VIRGIN ISLANDS,0.1483,87146,No electoral Vote
UTAH,1.8,3271616,Republican
VERMONT,0.8521," 643,077",Democrat
VIRGINIA,4.5,8631393,Republican
WASHINGTON,4,7705281,Democrat
WEST VIRGINIA,2,1793716,Republican
WISCONSIN,2.8,5893718,Democrat
WYOMING,2.3,576851,Republican
