Job_Title,States,Salary
Data Analyst,Alabama,"$79,956 "
Data Engineer,Alabama,"$125,000 "
Data Scientist,Alabama,"$114,869 "
Business Analyst,Alabama,"$85,393 "
Data Architect,Alabama,"$140,700 "
Data Analyst,Alaska,"$87,825 "
Data Engineer,Alaska,"$128,545 "
Data Scientist,Alaska,"$139,649 "
Business Analyst,Alaska,"$88,471 "
Data Architect,Alaska,"$142,500 "
Data Analyst,Arizona,"$80,763 "
Data Engineer,Arizona,"$126,055 "
Data Scientist,Arizona,"$126,494 "
Business Analyst,Arizona,"$89,908 "
Data Architect,Arizona,"$145,000 "
Data Analyst,Arkansas,"$65,163 "
Data Engineer,Arkansas,"$123,500 "
Data Scientist,Arkansas,"$149,100 "
Business Analyst,Arkansas,"$76,650 "
Data Architect,Arkansas,"$119,725 "
Data Analyst,California,"$93,474 "
Data Engineer,California,"$155,000 "
Data Scientist,California,"$158,005 "
Business Analyst,California,"$104,608 "
Data Architect,California,"$158,379 "
Data Analyst,Colorado,"$82,092 "
Data Engineer,Colorado,"$125,000 "
Data Scientist,Colorado,"$124,947 "
Business Analyst,Colorado,"$88,192 "
Data Architect,Colorado,"$132,500 "
Data Analyst,Connecticut,"$88,693 "
Data Engineer,Connecticut,"$138,226 "
Data Scientist,Connecticut,"$146,600 "
Business Analyst,Connecticut,"$100,007 "
Data Architect,Connecticut,"$155,000 "
Data Analyst,Delaware,"$85,000 "
Data Engineer,Delaware,"$135,200 "
Data Scientist,Delaware,"$144,650 "
Business Analyst,Delaware,"$102,575 "
Data Architect,Delaware,"$131,625 "
Data Analyst,Florida,"$82,537 "
Data Engineer,Florida,"$122,557 "
Data Scientist,Florida,"$125,817 "
Business Analyst,Florida,"$92,870 "
Data Architect,Florida,"$145,200 "
Data Analyst,Georgia,"$89,818 "
Data Engineer,Georgia,"$136,496 "
Data Scientist,Georgia,"$135,000 "
Business Analyst,Georgia,"$95,721 "
Data Architect,Georgia,"$150,255 "
Data Analyst,Hawaii,"$74,950 "
Data Engineer,Hawaii,"$132,500 "
Data Scientist,Hawaii,"$132,367 "
Business Analyst,Hawaii,"$84,165 "
Data Architect,Hawaii,"$159,750 "
Data Analyst,Idaho,"$70,837 "
Data Engineer,Idaho,"$123,258 "
Data Scientist,Idaho,"$133,500 "
Business Analyst,Idaho,"$83,500 "
Data Architect,Idaho,"$151,000 "
Data Analyst,Illinois,"$85,007 "
Data Engineer,Illinois,"$130,000 "
Data Scientist,Illinois,"$130,000 "
Business Analyst,Illinois,"$99,930 "
Data Architect,Illinois,"$153,242 "
Data Analyst,Indiana,"$64,975 "
Data Engineer,Indiana,"$125,000 "
Data Scientist,Indiana,"$90,168 "
Business Analyst,Indiana,"$87,202 "
Data Architect,Indiana,"$150,000 "
Data Analyst,Iowa,"$85,550 "
Data Engineer,Iowa,"$112,500 "
Data Scientist,Iowa,"$117,957 "
Business Analyst,Iowa,"$90,000 "
Data Architect,Iowa,"$129,148 "
Data Analyst,Kansas,"$82,375 "
Data Engineer,Kansas,"$127,500 "
Data Scientist,Kansas,"$125,000 "
Business Analyst,Kansas,"$89,933 "
Data Architect,Kansas,"$142,500 "
Data Analyst,Kentucky,"$64,844 "
Data Engineer,Kentucky,"$114,450 "
Data Scientist,Kentucky,"$124,550 "
Business Analyst,Kentucky,"$80,069 "
Data Architect,Kentucky,"$136,938 "
Data Analyst,Louisiana,"$73,125 "
Data Engineer,Louisiana,"$120,000 "
Data Scientist,Louisiana,"$132,575 "
Business Analyst,Louisiana,"$80,062 "
Data Architect,Louisiana,"$147,500 "
Data Analyst,Maine,"$79,500 "
Data Engineer,Maine,"$126,500 "
Data Scientist,Maine,"$121,250 "
Business Analyst,Maine,"$88,435 "
Data Architect,Maine,"$139,963 "
Data Analyst,Maryland,"$87,123 "
Data Engineer,Maryland,"$149,260 "
Data Scientist,Maryland,"$140,046 "
Business Analyst,Maryland,"$96,282 "
Data Architect,Maryland,"$158,613 "
Data Analyst,Massachusetts,"$92,595 "
Data Engineer,Massachusetts,"$140,000 "
Data Scientist,Massachusetts,"$141,534 "
Business Analyst,Massachusetts,"$106,133 "
Data Architect,Massachusetts,"$155,125 "
Data Analyst,Michigan,"$72,519 "
Data Engineer,Michigan,"$115,296 "
Data Scientist,Michigan,"$112,500 "
Business Analyst,Michigan,"$93,174 "
Data Architect,Michigan,"$137,280 "
Data Analyst,Minnesota,"$99,837 "
Data Engineer,Minnesota,"$126,146 "
Data Scientist,Minnesota,"$126,050 "
Business Analyst,Minnesota,"$96,589 "
Data Architect,Minnesota,"$145,600 "
Data Analyst,Mississippi,"$76,577 "
Data Engineer,Mississippi,"$135,900 "
Data Scientist,Mississippi,"$130,950 "
Business Analyst,Mississippi,"$90,167 "
Data Architect,Mississippi,"$119,347 "
Data Analyst,Missouri,"$87,622 "
Data Engineer,Missouri,"$122,367 "
Data Scientist,Missouri,"$130,000 "
Business Analyst,Missouri,"$87,931 "
Data Architect,Missouri,"$142,910 "
Data Analyst,Montana,"$68,972 "
Data Engineer,Montana,"$124,000 "
Data Scientist,Montana,"$114,000 "
Business Analyst,Montana,"$67,500 "
Data Architect,Montana,"$143,100 "
Data Analyst,Nebraska,"$60,000 "
Data Engineer,Nebraska,"$125,000 "
Data Scientist,Nebraska,"$145,000 "
Business Analyst,Nebraska,"$81,010 "
Data Architect,Nebraska,"$132,500 "
Data Analyst,Nevada,"$81,747 "
Data Engineer,Nevada,"$120,000 "
Data Scientist,Nevada,"$136,500 "
Business Analyst,Nevada,"$81,376 "
Data Architect,Nevada,"$130,000 "
Data Analyst,New Hampshire,"$82,875 "
Data Engineer,New Hampshire,"$136,327 "
Data Scientist,New Hampshire,"$130,000 "
Business Analyst,New Hampshire,"$85,000 "
Data Architect,New Hampshire,"$159,500 "
Data Analyst,New Jersey,"$91,863 "
Data Engineer,New Jersey,"$144,254 "
Data Scientist,New Jersey,"$135,000 "
Business Analyst,New Jersey,"$108,564 "
Data Architect,New Jersey,"$158,915 "
Data Analyst,New Mexico,"$69,115 "
Data Engineer,New Mexico,"$132,600 "
Data Scientist,New Mexico,"$142,450 "
Business Analyst,New Mexico,"$89,824 "
Data Architect,New Mexico,"$155,000 "
Data Analyst,New York,"$92,347 "
Data Engineer,New York,"$150,000 "
Data Scientist,New York,"$150,000 "
Business Analyst,New York,"$104,056 "
Data Architect,New York,"$157,991 "
Data Analyst,North Carolina,"$93,600 "
Data Engineer,North Carolina,"$130,000 "
Data Scientist,North Carolina,"$125,653 "
Business Analyst,North Carolina,"$96,103 "
Data Architect,North Carolina,"$139,907 "
Data Analyst,North Dakota,"$75,000 "
Data Engineer,North Dakota,"$115,500 "
Data Scientist,North Dakota,"$90,000 "
Business Analyst,North Dakota,"$81,000 "
Data Architect,North Dakota,"$149,000 "
Data Analyst,Ohio,"$73,800 "
Data Engineer,Ohio,"$119,070 "
Data Scientist,Ohio,"$120,866 "
Business Analyst,Ohio,"$92,669 "
Data Architect,Ohio,"$140,333 "
Data Analyst,Oklahoma,"$70,830 "
Data Engineer,Oklahoma,"$114,439 "
Data Scientist,Oklahoma,"$115,000 "
Business Analyst,Oklahoma,"$84,038 "
Data Architect,Oklahoma,"$121,875 "
Data Analyst,Oregon,"$83,166 "
Data Engineer,Oregon,"$131,445 "
Data Scientist,Oregon,"$134,662 "
Business Analyst,Oregon,"$91,693 "
Data Architect,Oregon,"$140,000 "
Data Analyst,Pennsylvania,"$80,651 "
Data Engineer,Pennsylvania,"$130,000 "
Data Scientist,Pennsylvania,"$129,353 "
Business Analyst,Pennsylvania,"$95,000 "
Data Architect,Pennsylvania,"$147,189 "
Data Analyst,Rhode Island,"$82,500 "
Data Engineer,Rhode Island,"$130,763 "
Data Scientist,Rhode Island,"$135,100 "
Business Analyst,Rhode Island,"$77,069 "
Data Architect,Rhode Island,"$148,200 "
Data Analyst,South Carolina,"$69,831 "
Data Engineer,South Carolina,"$126,000 "
Data Scientist,South Carolina,"$116,513 "
Business Analyst,South Carolina,"$83,005 "
Data Architect,South Carolina,"$150,585 "
Data Analyst,South Dakota,"$60,591 "
Data Engineer,South Dakota,"$123,000 "
Data Scientist,South Dakota,"$132,367 "
Business Analyst,South Dakota,"$75,000 "
Data Architect,South Dakota,"$155,895 "
Data Analyst,Tennessee,"$74,757 "
Data Engineer,Tennessee,"$120,227 "
Data Scientist,Tennessee,"$126,000 "
Business Analyst,Tennessee,"$92,027 "
Data Architect,Tennessee,"$144,952 "
Data Analyst,Texas,"$87,500 "
Data Engineer,Texas,"$131,836 "
Data Scientist,Texas,"$134,282 "
Business Analyst,Texas,"$99,996 "
Data Architect,Texas,"$152,692 "
Data Analyst,Utah,"$78,063 "
Data Engineer,Utah,"$125,000 "
Data Scientist,Utah,"$125,300 "
Business Analyst,Utah,"$84,318 "
Data Architect,Utah,"$130,000 "
Data Analyst,Vermont,"$61,680 "
Data Engineer,Vermont,"$147,500 "
Data Scientist,Vermont,"$134,000 "
Business Analyst,Vermont,"$80,000 "
Data Architect,Vermont,"$125,000 "
Data Analyst,Virginia,"$95,645 "
Data Engineer,Virginia,"$144,550 "
Data Scientist,Virginia,"$142,483 "
Business Analyst,Virginia,"$100,700 "
Data Architect,Virginia,"$152,650 "
Data Analyst,Washington,"$91,927 "
Data Engineer,Washington,"$151,005 "
Data Scientist,Washington,"$159,290 "
Business Analyst,Washington,"$100,696 "
Data Architect,Washington,"$154,597 "
Data Analyst,West Virginia,"$74,950 "
Data Engineer,West Virginia,"$182,950 "
Data Scientist,West Virginia,"$125,550 "
Business Analyst,West Virginia,"$92,500 "
Data Architect,West Virginia,"$150,000 "
Data Analyst,Wisconsin,"$77,495 "
Data Engineer,Wisconsin,"$123,504 "
Data Scientist,Wisconsin,"$139,525 "
Business Analyst,Wisconsin,"$90,261 "
Data Architect,Wisconsin,"$143,360 "
Data Analyst,Wyoming,"$69,259 "
Data Engineer,Wyoming,"$126,500 "
Data Scientist,Wyoming,"$144,850 "
Business Analyst,Wyoming,"$83,651 "
